posted_date,main_city,price_land_pp,dist_hospital,dist_school,dist_railway,dist_bus_stop,dist_road
1/2/2018,rajagiriya,1600000.0,5.3000612260992,8.21333934751033,4.10277853992283,1.42066317166328,1958.92465211024
1/13/2018,dehiwala,3000000.0,5.07024752399111,10.2529477980751,11.016054856705,2.91577244525554,1498.26212366182
1/12/2018,homagama,285000.0,2.34976166680732,4.48532973962104,0.574572605517798,2.29851817028481,1863.77492670036
2/1/2018,malabe,1000000.0,1.4358607041369,4.53172703220671,10.1650897222536,3.15312111051528,1572.58843828057
1/24/2018,nugegoda,3250000.0,16.4186942167165,0.342955599743967,0.620786258984061,1.95645055327768,1170.20388475757
3/14/2018,wellampitiya,550000.0,9.59095031035981,9.6749416551814,2.00605107532518,1.88492178875835,1300.99691086638
2/7/2018,kottawa,650000.0,8.19459419586655,0.250138619511353,8.35109458848037,1.87716512729314,1051.92737390428
2/4/2018,homagama,360000.0,2.72941610001,2.43324387760584,3.01834796869514,3.55523175900349,1143.68921864384
4/2/2018,thalawathugoda,1100000.0,7.82628296137877,7.52093798742609,9.38059194321122,1.7982847825461,2265.62055747312
3/11/2018,malabe,280000.0,6.25117187650749,7.23986244836754,5.10030642724499,1.97790740252163,1545.84345679808
3/4/2018,maharagama,1350000.0,16.8962986452967,5.56351801607025,0.863069035069225,2.26745535354419,1778.70938600071
5/15/2018,pannipitiya,1000000.0,11.743308082212,4.60707077002964,5.20390471856256,2.1790240523772,1506.3128843976
3/2/2018,homagama,120689.0,5.25084579809121,7.1713684737675,8.83838513568846,1.73166384525607,2342.7539525074
5/16/2018,colombo 6,6700000.0,0.01359,9.19258322925299,8.04001535258083,2.65537737457893,874.809398472932
5/15/2018,pannipitiya,1000000.0,8.54514469337096,6.03642943299667,3.57871180488291,2.42152428347332,3243.07263075093
4/3/2018,battaramulla,2300000.0,7.36259684455412,9.4157708702432,5.98865102158809,0.921395712642019,1993.79242992462
5/3/2018,thalawathugoda,1150000.0,13.0906170931208,9.59429105839726,2.54484701230208,2.75389143721889,1563.57140344127
5/24/2018,malabe,650000.0,10.6382275608127,7.67469913216319,0.01359,1.8067321983702,1804.78312181337
6/10/2018,mount lavinia,2600000.0,4.38781000115804,3.09720838897299,10.5308889678091,2.81676342139741,1099.73220366024
5/3/2018,homagama,150000.0,14.9372759402324,1.91482200066114,4.88410750084484,2.13963472686575,1479.62019553996
1/13/2018,piliyandala,376237.0,0.01359,7.33740679287483,0.650899651673847,2.3841994947847,1072.44759157749
5/28/2018,pannipitiya,1000000.0,14.6482530584593,5.0007698257734,0.486962651950057,1.66304884495159,844.375935078441
5/17/2018,nugegoda,3800000.0,10.9191939515974,11.0215982636131,6.2236267795622,1.48735844964779,1174.84506658015
2/4/2018,malabe,2644.0,9.93763955008386,2.64088814438294,10.7644718759865,2.96569960163509,1143.09277470683
2/6/2018,kottawa,890000.0,1.31972682135518,7.14843679309813,5.10275732199178,2.7568913678872,1374.00788599051
5/22/2018,kottawa,540000.0,0.01359,4.8672260729912,10.9815211324105,2.94234372606651,1613.17937608406
4/23/2018,dehiwala,10000000.0,7.43702136145983,7.9105945331376,3.88562290372697,1.05974522657813,1388.92646447929
4/16/2018,mount lavinia,2200000.0,2.3598595216717,9.13634807131056,0.01359,0.738016344728743,1170.24692528576
7/22/2018,athurugiriya,315000.0,18.6378483281941,5.79545606333581,6.7495704011866,2.35998947008052,971.512330722923
1/24/2018,angoda,571428.0,10.7034285194743,7.747425106164,0.44561589434364,2.51380853289684,1208.0988850277
3/15/2018,rajagiriya,3500000.0,6.24248455423886,1.05075480297482,10.500155299162,2.17465861835316,1952.80128121241
1/26/2018,ethul kotte,900000.0,6.58684309782587,7.54458699359015,1.66898150220573,1.0313622593125,1522.03741148348
8/7/2018,maharagama,690000.0,13.1270427817223,9.52222956743909,7.15683152762179,3.37652595203051,1146.47929814586
9/4/2018,homagama,250000.0,13.8573913699321,4.9691759938217,3.66885145308597,1.75874918286887,928.196314959113
2/22/2018,nugegoda,1400000.0,10.6183941793098,4.80571069970327,8.41532383474185,1.98694132814533,1595.88277126415
8/23/2018,kottawa,610000.0,0.01359,7.01202302963058,10.3792031688565,1.86206037613927,2316.12659950789
7/30/2018,malabe,2608695.0,0.01359,7.97166807595567,3.50411245071341,3.24887429703452,2948.17552446507
3/16/2018,kolonnawa,500000.0,11.0518052538974,5.9820620927535,9.47862676051575,2.98546869095382,1785.89542367942
3/25/2018,maharagama,1475000.0,7.59484867009187,6.50027817969759,12.1763161920832,1.50979026647055,2086.72582677927
2/14/2018,rajagiriya,1400000.0,0.755883250175825,3.02512394281203,6.28187386239973,0.0408755449496359,983.491837003969
3/29/2018,nugegoda,2304394.0,7.04582894518363,5.70779795694025,0.49487879317259,2.99046460830764,1689.40915559914
9/18/2018,malabe,800000.0,9.00670580311041,3.81851860932925,10.1357870061011,1.79702574996896,581.252426530069
10/1/2018,malabe,6250.0,0.93894587198011,0.51428006250833,6.61083996167469,3.26391361003132,3130.70002447782
10/5/2018,rajagiriya,3200000.0,13.9977218403789,9.66203053337386,9.73682119490417,1.92662210579623,2274.88645630859
9/12/2018,nugegoda,1400000.0,1.14853121720828,5.62791389288644,2.44311888572274,2.40760732847301,1147.20966509462
9/26/2018,colombo 4,23000000.0,0.01359,7.36467375855121,4.45342932566325,3.00311965098476,1081.10924235004
10/20/2018,athurugiriya,375000.0,9.50905618720563,13.6651062954932,3.54597171396495,1.05816745556981,884.373407796704
